編號,案件類型,發生日期,發生時段,發生地點,定位地點,lat,lon
1055,住宅竊盜,1050827,04~06,台北市大安區法治里9鄰通化街182巷1~30號,台北市大安區法治里9鄰通化街182巷1 號,25.0270547,121.5531458
1056,住宅竊盜,1050827,22~24,台北市內湖區成功路5段61~90號,台北市內湖區成功路5段61 號,25.0740956,121.6062167
1057,住宅竊盜,1050828,01~03,台北市內湖區成功路2段486巷1~30號,台北市內湖區成功路2段486巷1 號,25.0733124,121.5895122
1058,住宅竊盜,1050828,07~09,台北市信義區正和里仁愛路4段511~540號,台北市信義區正和里仁愛路4段511 號,25.0374713,121.5612341
1059,住宅竊盜,1050828,10~12,台北市大安區仁愛里仁愛路4段27巷31~60號,台北市大安區仁愛里仁愛路4段27巷31 號,25.040702,121.5453235
1060,住宅竊盜,1050829,04~06,台北市內湖區港墘路155巷7弄1~30號,台北市內湖區港墘路155巷7弄1 號,25.0769814,121.5757708
1061,住宅竊盜,1050829,19~21,台北市內湖區康樂街193之1~30號,台北市內湖區康樂街193之1 號,25.0759271,121.6207084
1062,住宅竊盜,1050829,22~24,台北市中正區光復里重慶南路1段46巷1~30號,台北市中正區光復里重慶南路1段46巷1 號,25.044533,121.512811
1063,住宅竊盜,1050829,22~24,台北市松山區民族東路661~690號,台北市松山區民族東路661 號,25.0641325,121.547329
1064,住宅竊盜,1050830,10~12,台北市信義區三犁里松勤街121~150號,台北市信義區三犁里松勤街121 號,25.0318642,121.5690907
1065,住宅竊盜,1050830,13~15,台北市中山區敬業三路151~180號,台北市中山區敬業三路151 號,25.0799029,121.5562777
1066,住宅竊盜,1050831,13~15,台北市文山區景華里三福街4巷31~60號,台北市文山區景華里三福街4巷31 號,24.9957384,121.542843
1067,住宅竊盜,1050901,01~03,台北市北投區秀山里中和街502巷14弄1~30號,台北市北投區秀山里中和街502巷14弄1 號,25.1474406,121.494526
1068,住宅竊盜,1050901,07~09,台北市南港區九如里研究院路3段68巷1~30號,台北市南港區九如里研究院路3段68巷1 號,25.0351181,121.6139605
1069,住宅竊盜,1050901,07~09,台北市大安區民輝里新生南路1段103巷1~30號,台北市大安區民輝里新生南路1段103巷1 號,25.0406114,121.5341024
1070,住宅竊盜,1050901,13~15,台北市信義區永春里中坡北路15巷1~30號,台北市信義區永春里中坡北路15巷1 號,25.0447278,121.580732
1071,住宅竊盜,1050902,07~09,台北市南港區百福里福德街339巷1弄1~30號,台北市南港區百福里福德街339巷1弄1 號,25.039052,121.5889349
1072,住宅竊盜,1050902,07~09,台北市文山區木柵里018鄰秀明路1段61~90號,台北市文山區木柵里018鄰秀明路1段61 號,24.9901475,121.5654201
1073,住宅竊盜,1050902,19~21,台北市萬華區大理街160巷19弄1~30號,台北市萬華區大理街160巷19弄1 號,25.0329717,121.4937194
1074,住宅竊盜,1050903,01~03,台北市中山區龍江路377巷22之1~30號,台北市中山區龍江路377巷22之1 號,25.0644061,121.5423197
1075,住宅竊盜,1050903,10~12,台北市中山區龍江路370巷31~60號,台北市中山區龍江路370巷31 號,25.0665249,121.539285
1076,住宅竊盜,1050904,10~12,台北市內湖區五分里23鄰康寧路3段265巷31~60號,台北市內湖區五分里23鄰康寧路3段265巷31 號,25.066466,121.612507
1077,住宅竊盜,1050906,01~03,台北市內湖區民權東路6段90巷25弄31~60號,台北市內湖區民權東路6段90巷25弄31 號,25.0671133,121.5871516
1078,住宅竊盜,1050906,13~15,台北市內湖區文德路210巷30弄61~90號,台北市內湖區文德路210巷30弄61 號,25.076931,121.584459
1079,住宅竊盜,1050908,10~12,台北市北投區致遠二路5巷1~30號,台北市北投區致遠二路5巷1 號,25.1142176,121.5118759
1080,住宅竊盜,1050909,01~03,台北市大安區通安里通化街162巷1~30號,台北市大安區通安里通化街162巷1 號,25.0285504,121.5532681
1081,住宅竊盜,1050910,01~03,台北市大安區臨江里通化街171巷1~30號,台北市大安區臨江里通化街171巷1 號,25.0283452,121.5537787
1082,住宅竊盜,1050912,22~24,台北市內湖區內湖路2段179巷241~270號,台北市內湖區內湖路2段179巷241 號,25.0819925,121.589434
1083,住宅竊盜,1050913,19~21,台北市大安區臨江里通化街123巷1~30號,台北市大安區臨江里通化街123巷1 號,25.0292355,121.5543056
1084,住宅竊盜,1050914,07~09,台北市文山區景美里萬慶街31~60號,台北市文山區景美里萬慶街31 號,24.9928334,121.5390526
1085,住宅竊盜,1050914,10~12,台北市士林區忠誠路2段21巷1~30號,台北市士林區忠誠路2段21巷1 號,25.10979,121.5322665
1086,住宅竊盜,1050914,19~21,台北市南港區萬福里忠孝東路6段91~120號,台北市南港區萬福里忠孝東路6段91 號,25.0467375,121.5838379
1087,住宅竊盜,1050915,16~18,台北市信義區中行里福德街221巷181~210號,台北市信義區中行里福德街221巷181 號,25.0323991,121.5847034
1088,住宅竊盜,1050917,19~21,台北市文山區華興里027鄰木柵路1段301~330號,台北市文山區華興里027鄰木柵路1段301 號,24.988205,121.554312
1089,住宅竊盜,1050918,04~06,台北市內湖區蘆洲里5鄰安康路31~60號,台北市內湖區蘆洲里5鄰安康路31 號,25.0610106,121.601049
1090,住宅竊盜,1050918,10~12,台北市信義區大道里大道路61~90號,台北市信義區大道里大道路61 號,25.041338,121.582353
1091,住宅竊盜,1050918,22~24,台北市士林區天壽里13鄰天母西路1~30號,台北市士林區天壽里13鄰天母西路1 號,25.1185573,121.5296774
1092,住宅竊盜,1050919,04~06,台北市文山區順興里010鄰木新路3段74巷1~30號,台北市文山區順興里010鄰木新路3段74巷1 號,24.9827855,121.5630283
1093,住宅竊盜,1050919,07~09,台北市信義區長春里虎林街104巷140弄1~30號,台北市信義區長春里虎林街104巷140弄1 號,25.042758,121.573931
